Foremost version 1.5.7 by Jesse Kornblum, Kris Kendall, and Nick Mikus
Audit File

Foremost started at Tue Apr  4 14:38:57 2023
Invocation: foremost -T -t jpg,gif,pdf -i BrownWiggins2.dd 
Output directory: /home/csis/Desktop/output_Tue_Apr__4_14_38_57_2023
Configuration file: /etc/foremost.conf
------------------------------------------------------------------
File: BrownWiggins2.dd
Start: Tue Apr  4 14:38:57 2023
Length: 7 GB (8166703104 bytes)
 
Num	 Name (bs=512)	       Size	 File Offset	 Comment 

0:	00046072.jpg 	      16 KB 	   23588864 	 
1:	00050160.jpg 	      11 KB 	   25681920 	 
2:	00050184.jpg 	       7 KB 	   25694208 	 
3:	00050224.jpg 	      16 KB 	   25714688 	 
4:	00050280.jpg 	      11 KB 	   25743360 	 
5:	00052688.jpg 	       1 KB 	   26976256 	 
6:	00052704.jpg 	       1 KB 	   26984448 	 
7:	00052708.jpg 	       1 KB 	   26986496 	 
8:	00052712.jpg 	       1 KB 	   26988544 	 
9:	00052928.jpg 	       3 KB 	   27099136 	 
10:	00055308.jpg 	       1 KB 	   28317696 	 
11:	00055916.jpg 	       6 KB 	   28628992 	 
12:	00056020.jpg 	       1 KB 	   28682240 	 
13:	00065144.jpg 	       3 KB 	   33353728 	 
14:	00065264.jpg 	       5 KB 	   33415168 	 
15:	00065352.jpg 	      19 KB 	   33460224 	 
16:	00065784.jpg 	      71 KB 	   33681408 	 
17:	00065960.jpg 	      61 KB 	   33771520 	 
18:	00066112.jpg 	      68 KB 	   33849344 	 
19:	00068224.jpg 	       2 MB 	   34930688 	 
20:	00073448.jpg 	       2 KB 	   37605376 	 
21:	00074456.jpg 	      58 KB 	   38121472 	 
22:	00075166.jpg 	      883 B 	   38485115 	 
23:	00087312.jpg 	       2 MB 	   44703744 	 
24:	00092808.jpg 	       2 MB 	   47517696 	 
25:	00097472.jpg 	       2 MB 	   49905664 	 
26:	00102464.jpg 	       2 MB 	   52461568 	 
27:	00107384.jpg 	       2 MB 	   54980608 	 
28:	00112352.jpg 	       1 MB 	   57524224 	 
29:	00116408.jpg 	       1 MB 	   59600896 	 
30:	00149206.jpg 	      85 KB 	   76393472 	 
31:	00149432.jpg 	      21 KB 	   76509184 	 
32:	00149488.jpg 	       7 KB 	   76537856 	 
33:	00149504.jpg 	       9 KB 	   76546048 	 
34:	00149536.jpg 	      10 KB 	   76562432 	 
35:	00149560.jpg 	      12 KB 	   76574720 	 
36:	00149592.jpg 	       8 KB 	   76591104 	 
37:	00149616.jpg 	       8 KB 	   76603392 	 
38:	00149640.jpg 	      13 KB 	   76615680 	 
39:	00149680.jpg 	       7 KB 	   76636160 	 
40:	00149696.jpg 	       8 KB 	   76644352 	 
41:	00149720.jpg 	      10 KB 	   76656640 	 
42:	00149744.jpg 	      10 KB 	   76668928 	 
43:	00149776.jpg 	       6 KB 	   76685312 	 
44:	00149792.jpg 	       5 KB 	   76693504 	 
45:	00149808.jpg 	      14 KB 	   76701696 	 
46:	00149840.jpg 	      14 KB 	   76718080 	 
47:	00149888.jpg 	      17 KB 	   76742656 	 
48:	00149928.jpg 	      15 KB 	   76763136 	 
49:	00149960.jpg 	       5 KB 	   76779520 	 
50:	00149976.jpg 	       4 KB 	   76787712 	 
51:	00149992.jpg 	       9 KB 	   76795904 	 
52:	00150016.jpg 	       8 KB 	   76808192 	 
53:	00150040.jpg 	      10 KB 	   76820480 	 
54:	00150064.jpg 	       8 KB 	   76832768 	 
55:	00150096.jpg 	       8 KB 	   76849152 	 
56:	00150120.jpg 	      11 KB 	   76861440 	 
57:	00150144.jpg 	      11 KB 	   76873728 	 
58:	00150168.jpg 	       8 KB 	   76886016 	 
59:	00150192.jpg 	       5 KB 	   76898304 	 
60:	00150208.jpg 	      11 KB 	   76906496 	 
61:	00150232.jpg 	      10 KB 	   76918784 	 
62:	00150264.jpg 	      18 KB 	   76935168 	 
63:	00150312.jpg 	       7 KB 	   76959744 	 
64:	00150328.jpg 	       8 KB 	   76967936 	 
65:	00150352.jpg 	       8 KB 	   76980224 	 
66:	00150376.jpg 	      10 KB 	   76992512 	 
67:	00150408.jpg 	      12 KB 	   77008896 	 
68:	00150448.jpg 	      17 KB 	   77029376 	 
69:	00052702.gif 	       35 B 	   26983680 	  (1 x 1)
70:	00052703.gif 	       35 B 	   26983936 	  (1 x 1)
71:	00052703_1.gif 	       35 B 	   26984192 	  (1 x 1)
72:	00053732.gif 	       35 B 	   27510784 	  (1 x 1)
73:	00053732_1.gif 	       35 B 	   27511040 	  (1 x 1)
74:	00053734.gif 	       35 B 	   27512064 	  (1 x 1)
75:	00055451.gif 	       35 B 	   28390912 	  (1 x 1)
76:	00055453.gif 	       35 B 	   28391936 	  (1 x 1)
77:	00055455.gif 	       35 B 	   28392960 	  (1 x 1)
78:	00055457.gif 	       35 B 	   28393984 	  (1 x 1)
79:	00055459.gif 	       35 B 	   28395008 	  (1 x 1)
80:	00055459_1.gif 	       35 B 	   28395264 	  (1 x 1)
81:	00055461.gif 	       35 B 	   28396288 	  (1 x 1)
82:	00055463.gif 	       35 B 	   28397312 	  (1 x 1)
83:	00055595.gif 	       35 B 	   28464896 	  (1 x 1)
84:	00055599.gif 	       35 B 	   28466688 	  (1 x 1)
85:	00055599_1.gif 	       35 B 	   28466944 	  (1 x 1)
86:	00055926.gif 	       35 B 	   28634368 	  (1 x 1)
87:	00065293.gif 	       35 B 	   33430272 	  (1 x 1)
